ID,LABEL,has_obo_namespace,SubClass Of,definition,hasDbXref,comment,hasExactSynonym,has_narrow_synonym,hasRelatedSynonym,created_by,creation_date,in_subset,has_alternative_id
UO:0000021,gram,unit.ontology,mass unit,A mass unit which is equal to one thousandth of a kilogram or 10^[-3] kg.,,,g,,,george gkoutos,,obo:uo#unit_slim,
UO:0000022,milligram,unit.ontology,mass unit,A mass unit which is equal to one thousandth of a gram or 10^[-3] g.,,,mg,,,george gkoutos,,obo:uo#unit_slim,
UO:0000023,microgram,unit.ontology,mass unit,A mass unit which is equal to one millionth of a gram or 10^[-6] g.,,,ug,,,george gkoutos,,obo:uo#unit_slim,
UO:0000024,nanogram,unit.ontology,mass unit,A mass unit which is equal to one thousandth of one millionth of a gram or 10^[-9] g.,,,ng,,,george gkoutos,,obo:uo#unit_slim,
UO:0000025,picogram,unit.ontology,mass unit,A mass unit which is equal to 10^[-12] g.,,,pg,,,george gkoutos,,obo:uo#unit_slim,
UO:0000026,femtogram,unit.ontology,mass unit,A mass unit which is equal to 10^[-15] g.,,,fg,,,george gkoutos,,obo:uo#unit_slim,
UO:0000027,degree Celsius,unit.ontology,temperature unit,"A temperature unit which is equal to one kelvin degree. However, they have their zeros at different points. The centigrade scale has its zero at 273.15 K.",,,C,,,george gkoutos,,obo:uo#unit_slim,
UO:0000028,millisecond,unit.ontology,time unit,A time unit which is equal to one thousandth of a second or 10^[-3] s.,,,ms,,,george gkoutos,,obo:uo#unit_slim,
UO:0000029,microsecond,unit.ontology,time unit,A time unit which is equal to one millionth of a second or 10^[-6] s.,,,us,,,george gkoutos,,obo:uo#unit_slim,
UO:0000030,picosecond,unit.ontology,time unit,A time unit which is equal to 10^[-12] s.,,,ps,,,george gkoutos,,obo:uo#unit_slim,
UO:0000031,minute,unit.ontology,time unit,A time unit which is equal to 60 seconds.,,,min,,,george gkoutos,,obo:uo#unit_slim,
UO:0000032,hour,unit.ontology,time unit,A time unit which is equal to 3600 seconds or 60 minutes.,,,h,,,george gkoutos,,obo:uo#unit_slim,
UO:0000033,day,unit.ontology,time unit,A time unit which is equal to 24 hours.,,,,,,george gkoutos,,obo:uo#unit_slim,
UO:0000034,week,unit.ontology,time unit,A time unit which is equal to 7 days.,,,,,,george gkoutos,,obo:uo#unit_slim,
UO:0000035,month,unit.ontology,time unit,A time unit which is approximately equal to the length of time of one of cycle of the moon's phases which in science is taken to be equal to 30 days.,,,,,,george gkoutos,,obo:uo#unit_slim,
UO:0000036,year,unit.ontology,time unit,A time unit which is equal to 12 months which in science is taken to be equal to 365.25 days.,,,,,,george gkoutos,,obo:uo#unit_slim,
UO:0000037,milliampere,unit.ontology,electric current unit,An electric current unit current which is equal to one thousandth of an ampere or 10^[-3] A.,,,mA,,,george gkoutos,,obo:uo#unit_slim,
UO:0000038,microampere,unit.ontology,electric current unit,An electric current unit current which is equal to one millionth of an ampere or 10^[-6] A.,,,uA,,,george gkoutos,,obo:uo#unit_slim,
UO:0000039,micromole,unit.ontology,substance unit,A substance unit equal to a millionth of a mol or 10^[-6] mol.,,,umol,,,george gkoutos,,obo:uo#unit_slim,
UO:0000040,millimole,unit.ontology,substance unit,A substance unit equal to a thousandth of a mol or 10^[-3] mol.,,,mmol,,,george gkoutos,,obo:uo#unit_slim,
UO:0000041,nanomole,unit.ontology,substance unit,A substance unit equal to one thousandth of one millionth of a mole or 10^[-9] mol.,,,nmol,,,george gkoutos,,obo:uo#unit_slim,
UO:0000042,picomole,unit.ontology,substance unit,A substance unit equal to 10^[-12] mol.,,,pmol,,,george gkoutos,,obo:uo#unit_slim,
UO:0000043,femtomole,unit.ontology,substance unit,A substance unit equal to 10^[-15] mol.,,,fmol,,,george gkoutos,,obo:uo#unit_slim,
UO:0000044,attomole,unit.ontology,substance unit,A substance unit equal to 10^[-18] mol.,,,amol,,,george gkoutos,,obo:uo#unit_slim,
UO:0000045,base unit,unit.ontology,unit,A unit which is one of a particular measure to which all measures of that type can be related.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000046,prefix,unit.ontology,,,,,,,,gkoutos,2012-06-13T01:09:05Z,,
UO:0000047,area unit,unit.ontology,obo:uo#is_unit_of some PATO:0001709|unit,A unit which is a standard measure of the amount of a 2-dimensional flat surface.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000048,acceleration unit,unit.ontology,obo:uo#is_unit_of some PATO:0001028|unit,A unit which is a standard measure of the rate of change of velocity in either speed or direction.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000049,angular velocity unit,unit.ontology,obo:uo#is_unit_of some PATO:0001413|unit,A unit which is a standard measure of the rate of angular movement about an axis; the angle rotated in a given time.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000050,angular acceleration unit,unit.ontology,obo:uo#is_unit_of some PATO:0001350|unit,A unit which is a standard measure of the rate of change of angular velocity.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000051,concentration unit,unit.ontology,obo:uo#is_unit_of some PATO:0000033|unit,A unit which represents a standard measurement of how much of a given substance there is mixed with another substance.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000052,mass density unit,unit.ontology,density unit|obo:uo#is_unit_of some PATO:0001353,A density unit which is a standard measure of the mass of a substance in a given volume.,,,mass per unit volume,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000053,luminance unit,unit.ontology,light unit|obo:uo#is_unit_of some PATO:0001718,A unit which is a standard measure of the luminous intensity impinging on a given area.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000054,area density unit,unit.ontology,density unit|obo:uo#is_unit_of some PATO:0001351,A density unit which is a standard measure of the mass exerting an influence on a given area.,,,mass per unit area unit,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000055,molar mass unit,unit.ontology,mass unit|obo:uo#is_unit_of some PATO:0001681,A unit which is a standard measure of the mass of a homogeneous substance containing 6.02 x 1023 atoms or molecules.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
