ID,LABEL,comment,symbol,alternative label,alternative symbol,Type,longcomment
http://www.ontology-of-units-of-measure.org/resource/om-2/Admittance,admittance,Admittance is a measure of how easily a circuit or device will allow a current to flow. It is electric current divided by electric potential.,Y,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/Albedo,albedo,Ratio between radiation falling onto an object and the radiation reflected or scattered back. Or the ratio between the illumination and observed brightness.,α,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/Albedo,albedo,Ratio between radiation falling onto an object and the radiation reflected or scattered back. Or the ratio between the illumination and observed brightness.,α,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/AlfvenNumber,Alfvén number,,Al,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AlfvenNumber,Alfvén number,,Al,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/AlfvenNumberUnit,Alfvén number unit,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/Altitude,altitude,"The angular distance of a celestial body above or below the horizon, measured along the great circle passing through the body and the zenith.",h,elevation,Alt,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/Altitude,altitude,"The angular distance of a celestial body above or below the horizon, measured along the great circle passing through the body and the zenith.",h,elevation,Alt,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/AmbientDoseEquivalent,ambient dose equivalent,,,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/AmbientDoseEquivalent,ambient dose equivalent,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney,amount of money,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoney,amount of money,,,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfMoneyUnit,amount of money unit,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstance,amount of substance,"Amount of substance is the number of elementary entities such as atoms, molecules, electrons, particles, etc. present in a phenomenon. It is a base quantity in the International System of Units.",n,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstance,amount of substance,"Amount of substance is the number of elementary entities such as atoms, molecules, electrons, particles, etc. present in a phenomenon. It is a base quantity in the International System of Units.",n,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceConcentration,amount of substance concentration,,C,molaire concentratie|molar concentration,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceConcentration,amount of substance concentration,,C,molaire concentratie|molar concentration,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceConcentrationUnit,amount of substance concentration unit,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceFlow,amount of substance flow,,,amount-of-substance flow|molar flow,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceFlow,amount of substance flow,,,amount-of-substance flow|molar flow,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceFlowUnit,amount of substance flow unit,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceFraction,amount of substance fraction,,x,amount-of-substance fraction|mole fraction|molfractie,y,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceFraction,amount of substance fraction,,x,amount-of-substance fraction|mole fraction|molfractie,y,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceFractionFlow,amount of substance fraction flow,,,amount-of-substance fraction flow|mole fraction flow,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceFractionFlow,amount of substance fraction flow,,,amount-of-substance fraction flow|mole fraction flow,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceFractionUnit,amount of substance fraction unit,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AmountOfSubstanceUnit,amount of substance unit,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/Amphiphilicity,amphiphilicity,,,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/Amphiphilicity,amphiphilicity,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/Amplitude,amplitude,"The difference between the maximum and minimum magnitudes of a variable star, i.e., the total range of its brightness.",,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/Amplitude,amplitude,"The difference between the maximum and minimum magnitudes of a variable star, i.e., the total range of its brightness.",,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/Angle,angle,Angle is the ratio between an arc and its radius.,α,plane angle,β|γ|θ|φ,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/Angle,angle,Angle is the ratio between an arc and its radius.,α,plane angle,β|γ|θ|φ,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AngleUnit,angle unit,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AngularAcceleration,angular acceleration,,α,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/AngularAcceleration,angular acceleration,,α,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AngularAccelerationUnit,angular acceleration unit,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AngularDisplacement,angular displacement,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AngularDisplacement,angular displacement,,,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/AngularMomentum,angular momentum,,L,draaiimpuls|draaimoment|hoekmoment,J,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AngularMomentum,angular momentum,,L,draaiimpuls|draaimoment|hoekmoment,J,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/AngularMomentumUnit,angular momentum unit,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AngularSize,angular size,,,,,Named individual,
