UO ID,UO label
UO:1000079,radian per second based unit
UO:1000080,square meter based unit
UO:1000081,square centimeter based unit
UO:1000082,square millimeter based unit
UO:1000084,gram per cubic centimeter based unit
UO:1000085,candela per square meter based unit
UO:1000088,gram per mole based unit
UO:1000089,cubic meter per mole based unit
UO:1000090,cubic centimeter per mole based unit
UO:1000092,turns per second based unit
UO:1000093,cubic meter per kilogram based unit
UO:1000094,meter per second based unit
UO:1000096,cubic meter based unit
UO:1000097,cubic centimeter based unit
UO:1000099,liter based unit
UO:1000100,cubic decimeter based unit
UO:1000106,hertz based unit
UO:1000108,newton based unit
UO:1000110,pascal based unit
UO:1000112,joule based unit
UO:1000114,watt based unit
UO:1000116,lux based unit
UO:1000118,lumen based unit
UO:1000120,katal based unit
UO:1000123,radian based unit
UO:1000125,steradian based unit
UO:1000132,becquerel based unit
UO:1000133,curie based unit
UO:1000134,gray based unit
UO:1000135,rad based unit
UO:1000136,roentgen based unit
UO:1000137,sievert based unit
UO:1000140,Roentgen equivalent man based unit
UO:1000147,disintegrations per minute based unit
UO:1000148,counts per minute based unit
UO:1000151,century based unit
UO:1000152,half life based unit
UO:1000153,foot candle based unit
UO:1000155,watt per square meter based unit
UO:1000156,einstein per square meter per second based unit
UO:1000158,watt per steradian per square meter based unit
UO:1000162,watt per steradian based unit
UO:1000163,mass percentage based unit
UO:1000164,mass volume percentage based unit
UO:1000165,volume percentage based unit
UO:1000167,parts per hundred based unit
UO:1000168,parts per thousand based unit
UO:1000169,parts per million based unit
UO:1000170,parts per billion based unit
UO:1000171,parts per trillion based unit
UO:1000172,parts per quadrillion based unit
UO:1000173,gram per milliliter based unit
UO:1000175,gram per liter based unit
UO:1000178,unit per milliliter based unit
UO:1000179,unit per liter based unit
UO:1000180,mass per unit volume based unit
UO:1000181,enzyme unit based unit
UO:1000185,degree based unit
UO:1000188,pi based unit
UO:1000192,molecule count based unit
UO:1000193,purity percentage based unit
UO:1000194,confluence percentage based unit
UO:1000195,degree Fahrenheit based unit
UO:1000196,pH based unit
UO:1000197,liter per kilogram based unit
UO:1000201,cells per milliliter based unit
UO:1000203,katal per cubic meter based unit
UO:1000204,katal per liter based unit
UO:1000208,gram per deciliter based unit
UO:1000210,colony forming unit based unit
UO:1000211,plaque forming unit based unit
UO:1000213,colony forming unit per milliliter based unit
UO:1000215,plaque forming unit per milliliter based unit
UO:1000216,disintegrations per second based unit
UO:1000218,volt based unit
UO:1000220,coulomb based unit
UO:1000221,dalton based unit
UO:1000223,watt-hour based unit
UO:1000226,weber based unit
UO:1000228,tesla based unit
UO:1000229,volt-hour based unit
UO:1000232,bit based unit
UO:1000233,byte based unit
UO:1000237,chroma sampling unit based unit
UO:1000238,dynamic range unit based unit
UO:1000240,dots per inch based unit
UO:1000242,pixels per inch based unit
UO:1000243,pixels per millimeter based unit
UO:1000244,base pair based unit
UO:1000245,kibibyte based unit
UO:1000246,mebibyte based unit
UO:1000254,newton per meter based unit
UO:1000255,dyne per cm based unit
UO:1000257,pascal second based unit
UO:1000258,poise based unit
UO:1000260,effective dose unit based unit
UO:1000264,siemens based unit
UO:1000265,watt per meter kelvin based unit
UO:1000266,electronvolt based unit
UO:1000268,volt per meter based unit
UO:1000269,absorbance unit based unit
UO:1000281,count per nanomolar second based unit
UO:1000282,count per molar second based unit
UO:1000284,count per nanomolar based unit
UO:1000285,count per molar based unit
UO:1000310,dosage unit based unit
UO:1000312,relative light unit based unit
UO:1000313,relative luminescence unit based unit
UO:1000314,relative fluorescence unit based unit
UO:1010001,square micrometer based unit
UO:1010010,hectare based unit
UO:1010011,inch based unit
UO:1010012,thou based unit
UO:1010013,foot based unit
UO:1010014,yard based unit
UO:1010015,chain based unit
UO:1010016,furlong based unit
UO:1010017,mile based unit
UO:1010018,league based unit
UO:1010019,maritime length unit based unit
UO:1010020,fathom based unit
UO:1010021,cable based unit
UO:1010022,nautical mile based unit
UO:1010023,perch based unit
UO:1010024,rood based unit
UO:1010025,acre based unit
UO:1010026,fluid ounce based unit
UO:1010027,gill based unit
UO:1010028,pint based unit
UO:1010029,quart based unit
UO:1010030,gallon based unit
UO:1010031,grain based unit
UO:1010032,drachm based unit
UO:1010033,ounce based unit
UO:1010034,pound based unit
UO:1010035,stone based unit
UO:1010036,quarter based unit
UO:1010037,hundredweight based unit
UO:1010038,ton based unit
UO:1010039,slug based unit
UO:1010040,teaspoon based unit
UO:1010049,gram per square meter based unit
UO:1010051,large calorie based unit
