UO ID,UO label,OM label,OM ID
UO:0000113,power unit,power unit,http://www.ontology-of-units-of-measure.org/resource/om-2/PowerUnit
UO:0000114,watt,watt,http://www.ontology-of-units-of-measure.org/resource/om-2/watt
UO:0000115,illuminance unit,illuminance unit,http://www.ontology-of-units-of-measure.org/resource/om-2/IlluminanceUnit
UO:0000116,lux,lux,http://www.ontology-of-units-of-measure.org/resource/om-2/lux
UO:0000117,luminous flux unit,luminous flux unit,http://www.ontology-of-units-of-measure.org/resource/om-2/LuminousFluxUnit
UO:0000118,lumen,lumen,http://www.ontology-of-units-of-measure.org/resource/om-2/lumen
UO:0000119,catalytic activity unit,catalytic activity unit,http://www.ontology-of-units-of-measure.org/resource/om-2/CatalyticActivityUnit
UO:0000120,katal,katal,http://www.ontology-of-units-of-measure.org/resource/om-2/katal
UO:0000121,angle unit,angle unit,http://www.ontology-of-units-of-measure.org/resource/om-2/AngleUnit
UO:0000123,radian,rad,http://www.ontology-of-units-of-measure.org/resource/om-2/rad
UO:0000123,radian,radian,http://www.ontology-of-units-of-measure.org/resource/om-2/radian
UO:0000124,solid angle unit,solid angle unit,http://www.ontology-of-units-of-measure.org/resource/om-2/SolidAngleUnit
UO:0000125,steradian,steradian,http://www.ontology-of-units-of-measure.org/resource/om-2/steradian
UO:0000129,absorbed dose unit,absorbed dose unit,http://www.ontology-of-units-of-measure.org/resource/om-2/AbsorbedDoseUnit
UO:0000130,dose equivalent unit,dose equivalent unit,http://www.ontology-of-units-of-measure.org/resource/om-2/DoseEquivalentUnit
UO:0000131,exposure unit,exposure unit,http://www.ontology-of-units-of-measure.org/resource/om-2/ExposureUnit
UO:0000132,becquerel,becquerel,http://www.ontology-of-units-of-measure.org/resource/om-2/becquerel
UO:0000133,curie,curie,http://www.ontology-of-units-of-measure.org/resource/om-2/curie
UO:0000134,gray,gray,http://www.ontology-of-units-of-measure.org/resource/om-2/gray
UO:0000135,rad,rad,http://www.ontology-of-units-of-measure.org/resource/om-2/rad
UO:0000137,sievert,sievert,http://www.ontology-of-units-of-measure.org/resource/om-2/sievert
UO:0000138,millisievert,millisievert,http://www.ontology-of-units-of-measure.org/resource/om-2/millisievert
UO:0000139,microsievert,microsievert,http://www.ontology-of-units-of-measure.org/resource/om-2/microsievert
UO:0000140,Roentgen equivalent man,rem,http://www.ontology-of-units-of-measure.org/resource/om-2/rem
UO:0000141,microgray,microgray,http://www.ontology-of-units-of-measure.org/resource/om-2/microgray
UO:0000142,milligray,milligray,http://www.ontology-of-units-of-measure.org/resource/om-2/milligray
UO:0000143,nanogray,nanogray,http://www.ontology-of-units-of-measure.org/resource/om-2/nanogray
UO:0000144,nanosievert,nanosievert,http://www.ontology-of-units-of-measure.org/resource/om-2/nanosievert
UO:0000150,nanosecond,nanosecond,http://www.ontology-of-units-of-measure.org/resource/om-2/nanosecond-Time
UO:0000155,watt per square meter,watt per square metre,http://www.ontology-of-units-of-measure.org/resource/om-2/wattPerSquareMetre
UO:0000159,radiant intensity unit,radiant intensity unit,http://www.ontology-of-units-of-measure.org/resource/om-2/RadiantIntensityUnit
UO:0000161,radiance unit,radiance unit,http://www.ontology-of-units-of-measure.org/resource/om-2/RadianceUnit
UO:0000162,watt per steradian,watt per steradian,http://www.ontology-of-units-of-measure.org/resource/om-2/wattPerSteradian
UO:0000169,parts per million,parts per million,http://www.ontology-of-units-of-measure.org/resource/om-2/partsPerMillion
UO:0000173,gram per milliliter,gram per millilitre,http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerMillilitre
UO:0000174,kilogram per liter,kilogram per litre,http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerLitre
UO:0000175,gram per liter,gram per litre,http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerLitre
UO:0000182,density unit,density unit,http://www.ontology-of-units-of-measure.org/resource/om-2/DensityUnit
UO:0000185,degree,degree,http://www.ontology-of-units-of-measure.org/resource/om-2/degree
UO:0000187,percent,percent,http://www.ontology-of-units-of-measure.org/resource/om-2/percent
UO:0000189,count unit,count,http://www.ontology-of-units-of-measure.org/resource/om-2/count
UO:0000190,ratio,ratio,http://www.ontology-of-units-of-measure.org/resource/om-2/Ratio
UO:0000190,ratio,ratio,http://www.ontology-of-units-of-measure.org/resource/om-2/Ratio
UO:0000195,degree Fahrenheit,degree Fahrenheit,http://www.ontology-of-units-of-measure.org/resource/om-2/degreeFahrenheit
UO:0000203,katal per cubic meter,katal per cubic metre,http://www.ontology-of-units-of-measure.org/resource/om-2/katalPerCubicmetre
UO:0000208,gram per deciliter,gram per decilitre,http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerDecilitre
UO:0000209,deciliter,decilitre,http://www.ontology-of-units-of-measure.org/resource/om-2/decilitre
UO:0000210,colony forming unit,colony forming unit,http://www.ontology-of-units-of-measure.org/resource/om-2/colonyFormingUnit
UO:0000213,colony forming unit per milliliter,colony forming unit per millilitre,http://www.ontology-of-units-of-measure.org/resource/om-2/colonyFormingUnitPerMillilitre
UO:0000218,volt,volt,http://www.ontology-of-units-of-measure.org/resource/om-2/volt
UO:0000219,electric charge,electric charge,http://www.ontology-of-units-of-measure.org/resource/om-2/ElectricCharge
UO:0000219,electric charge,electric charge,http://www.ontology-of-units-of-measure.org/resource/om-2/ElectricCharge
UO:0000220,coulomb,coulomb,http://www.ontology-of-units-of-measure.org/resource/om-2/coulomb
UO:0000221,dalton,unified atomic mass unit,http://www.ontology-of-units-of-measure.org/resource/om-2/unifiedAtomicMassUnit
UO:0000225,magnetic flux unit,magnetic flux unit,http://www.ontology-of-units-of-measure.org/resource/om-2/MagneticFluxUnit
UO:0000226,weber,weber,http://www.ontology-of-units-of-measure.org/resource/om-2/weber
UO:0000227,magnetic flux density unit,magnetic flux density unit,http://www.ontology-of-units-of-measure.org/resource/om-2/MagneticFluxDensityUnit
UO:0000228,tesla,tesla,http://www.ontology-of-units-of-measure.org/resource/om-2/tesla
UO:0000232,bit,bit,http://www.ontology-of-units-of-measure.org/resource/om-2/bit
UO:0000233,byte,byte,http://www.ontology-of-units-of-measure.org/resource/om-2/byte
UO:0000234,kilobyte,kilobyte,http://www.ontology-of-units-of-measure.org/resource/om-2/kilobyte
UO:0000235,megabyte,megabyte,http://www.ontology-of-units-of-measure.org/resource/om-2/megabyte
UO:0000238,dynamic range unit,dynamic range unit,http://www.ontology-of-units-of-measure.org/resource/om-2/DynamicRangeUnit
UO:0000245,kibibyte,kibibyte,http://www.ontology-of-units-of-measure.org/resource/om-2/kibibyte
UO:0000246,mebibyte,mebibyte,http://www.ontology-of-units-of-measure.org/resource/om-2/mebibyte
UO:0000247,millivolt,millivolt,http://www.ontology-of-units-of-measure.org/resource/om-2/millivolt
UO:0000248,kilovolt,kilovolt,http://www.ontology-of-units-of-measure.org/resource/om-2/kilovolt
UO:0000249,microvolt,microvolt,http://www.ontology-of-units-of-measure.org/resource/om-2/microvolt
UO:0000250,nanovolt,nanovolt,http://www.ontology-of-units-of-measure.org/resource/om-2/nanovolt
UO:0000251,picovolt,picovolt,http://www.ontology-of-units-of-measure.org/resource/om-2/picovolt
UO:0000252,megavolt,megavolt,http://www.ontology-of-units-of-measure.org/resource/om-2/megavolt
UO:0000253,surface tension unit,surface tension unit,http://www.ontology-of-units-of-measure.org/resource/om-2/SurfaceTensionUnit
UO:0000254,newton per meter,newton per metre,http://www.ontology-of-units-of-measure.org/resource/om-2/newtonPerMetre
UO:0000257,pascal second,pascal second,http://www.ontology-of-units-of-measure.org/resource/om-2/pascalSecond-Time
UO:0000258,poise,poise,http://www.ontology-of-units-of-measure.org/resource/om-2/poise
UO:0000259,decibel,decibel,http://www.ontology-of-units-of-measure.org/resource/om-2/decibel
UO:0000264,siemens,mho,http://www.ontology-of-units-of-measure.org/resource/om-2/mho
UO:0000264,siemens,siemens,http://www.ontology-of-units-of-measure.org/resource/om-2/siemens
UO:0000265,watt per meter kelvin,watt per metre kelvin,http://www.ontology-of-units-of-measure.org/resource/om-2/wattPerMetreKelvin
UO:0000266,electronvolt,electronvolt,http://www.ontology-of-units-of-measure.org/resource/om-2/electronvolt
UO:0000268,volt per meter,volt per metre,http://www.ontology-of-units-of-measure.org/resource/om-2/voltPerMetre
