QUDT label,QUDT ID
,http://www.ontology-of-units-of-measure.org/resource/om-2/gon
,http://www.ontology-of-units-of-measure.org/resource/om-2/JapaneseYen
,http://www.ontology-of-units-of-measure.org/resource/om-2/shake
,http://www.ontology-of-units-of-measure.org/resource/om-2/week
,http://www.ontology-of-units-of-measure.org/resource/om-2/steradian
,http://qudt.org/vocab/dimensionvector/A0E0L2I0M-1H0T0D0
,http://qudt.org/vocab/dimensionvector/A0E0L-1I0M0H1T0D0
,http://www.ontology-of-units-of-measure.org/resource/om-2/mho
,http://qudt.org/schema/qudt/ValueForElectronVolt
,http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H1T-3D0
,http://www.ontology-of-units-of-measure.org/resource/om-2/partsPerMillion
,http://www.ontology-of-units-of-measure.org/resource/om-2/abvolt
,http://www.ontology-of-units-of-measure.org/resource/om-2/circularMil
,http://qudt.org/vocab/unit/KiloTONNE
,http://www.ontology-of-units-of-measure.org/resource/om-2/hour
,http://www.ontology-of-units-of-measure.org/resource/om-2/stathenry
,http://qudt.org/vocab/dimensionvector/A0E0L0I0M2H0T-2D0
,http://www.ontology-of-units-of-measure.org/resource/om-2/solarMass
,http://www.ontology-of-units-of-measure.org/resource/om-2/bar
,http://www.ontology-of-units-of-measure.org/resource/om-2/lambert
,http://www.ontology-of-units-of-measure.org/resource/om-2/second-Time
,http://www.ontology-of-units-of-measure.org/resource/om-2/volt
,http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H1T0D0
,http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T2D0
,http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T-3D0
,http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H2T0D0
,http://www.ontology-of-units-of-measure.org/resource/om-2/phot
,http://www.ontology-of-units-of-measure.org/resource/om-2/are
,http://www.ontology-of-units-of-measure.org/resource/om-2/month
,http://www.ontology-of-units-of-measure.org/resource/om-2/katal
,http://www.ontology-of-units-of-measure.org/resource/om-2/bushel-US
,http://www.ontology-of-units-of-measure.org/resource/om-2/statmho
,http://www.ontology-of-units-of-measure.org/resource/om-2/colonyFormingUnit
,http://www.ontology-of-units-of-measure.org/resource/om-2/erg
,http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T-1D0
,http://qudt.org/vocab/dimensionvector/A0E0L0I0M-1H0T-1D0
,http://qudt.org/vocab/dimensionvector/A0E0L0I0M-1H0T0D0
,http://www.ontology-of-units-of-measure.org/resource/om-2/statcoulomb
,http://qudt.org/vocab/quantitykind/AngularMeasurement
,http://qudt.org/vocab/dimensionvector/A0E0L-2I0M0H0T0D0
,http://www.ontology-of-units-of-measure.org/resource/om-2/MexicanPeso
,http://qudt.org/vocab/dimensionvector/A0E0L-1I0M0H0T-1D0
,http://www.ontology-of-units-of-measure.org/resource/om-2/rem
,http://www.ontology-of-units-of-measure.org/resource/om-2/pascal
,http://www.ontology-of-units-of-measure.org/resource/om-2/coulomb
,http://www.ontology-of-units-of-measure.org/resource/om-2/gal
,http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H2T-1D0
,http://qudt.org/vocab/dimensionvector/A-1E0L-3I0M0H0T0D0
,http://www.ontology-of-units-of-measure.org/resource/om-2/unifiedAtomicMassUnit
,http://www.ontology-of-units-of-measure.org/resource/om-2/joule
,http://www.ontology-of-units-of-measure.org/resource/om-2/watt
,http://www.ontology-of-units-of-measure.org/resource/om-2/gram
,http://www.ontology-of-units-of-measure.org/resource/om-2/tonOfRefrigeration
,http://www.ontology-of-units-of-measure.org/resource/om-2/gilbert
,http://www.ontology-of-units-of-measure.org/resource/om-2/litre
,http://www.ontology-of-units-of-measure.org/resource/om-2/henry
,http://www.ontology-of-units-of-measure.org/resource/om-2/minute-Time
,http://www.ontology-of-units-of-measure.org/resource/om-2/lightYear
,http://qudt.org/vocab/dimensionvector/A-1E1L-3I0M0H0T0D0
,http://qudt.org/vocab/dimensionvector/A0E0L-2I0M0H0T-2D0
,http://www.ontology-of-units-of-measure.org/resource/om-2/barye
,http://www.ontology-of-units-of-measure.org/resource/om-2/byte
,http://www.ontology-of-units-of-measure.org/resource/om-2/footPoundal
,http://www.ontology-of-units-of-measure.org/resource/om-2/statvolt
,http://www.ontology-of-units-of-measure.org/resource/om-2/gamma
A-1E0L0I0M0H0T0D0,http://qudt.org/vocab/dimensionvector/A-1E0L0I0M0H0T0D0
A-1E0L0I0M1H0T0D0,http://qudt.org/vocab/dimensionvector/A-1E0L0I0M1H0T0D0
A-1E0L2I0M1H-1T-2D0,http://qudt.org/vocab/dimensionvector/A-1E0L2I0M1H-1T-2D0
A-1E0L2I0M1H0T-1D0,http://qudt.org/vocab/dimensionvector/A-1E0L2I0M1H0T-1D0
A-1E0L2I0M1H0T-2D0,http://qudt.org/vocab/dimensionvector/A-1E0L2I0M1H0T-2D0
A-1E0L3I0M0H0T0D0,http://qudt.org/vocab/dimensionvector/A-1E0L3I0M0H0T0D0
A-1E0L3I0M1H0T-2D0,http://qudt.org/vocab/dimensionvector/A-1E0L3I0M1H0T-2D0
A-1E1L0I0M0H0T1D0,http://qudt.org/vocab/dimensionvector/A-1E1L0I0M0H0T1D0
A0E-1L0I0M1H0T-1D0,http://qudt.org/vocab/dimensionvector/A0E-1L0I0M1H0T-1D0
A0E-1L0I0M1H0T-2D0,http://qudt.org/vocab/dimensionvector/A0E-1L0I0M1H0T-2D0
A0E-1L0I0M1H0T-3D0,http://qudt.org/vocab/dimensionvector/A0E-1L0I0M1H0T-3D0
A0E-1L1I0M1H0T-2D0,http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-2D0
A0E-1L1I0M1H0T-3D0,http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-3D0
A0E-1L2I0M1H0T-2D0,http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-2D0
A0E-1L2I0M1H0T-3D0,http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-3D0
A0E-1L2I0M1H0T-4D0,http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-4D0
A0E-1L3I0M1H0T-3D0,http://qudt.org/vocab/dimensionvector/A0E-1L3I0M1H0T-3D0
A0E-2L2I0M1H0T-2D0,http://qudt.org/vocab/dimensionvector/A0E-2L2I0M1H0T-2D0
A0E-2L2I0M1H0T-3D0,http://qudt.org/vocab/dimensionvector/A0E-2L2I0M1H0T-3D0
A0E-2L3I0M1H0T-4D0,http://qudt.org/vocab/dimensionvector/A0E-2L3I0M1H0T-4D0
A0E0L-1I0M-1H1T3D0,http://qudt.org/vocab/dimensionvector/A0E0L-1I0M-1H1T3D0
A0E0L-1I0M0H-1T0D0,http://qudt.org/vocab/dimensionvector/A0E0L-1I0M0H-1T0D0
A0E0L-1I0M0H0T0D0,http://qudt.org/vocab/dimensionvector/A0E0L-1I0M0H0T0D0
A0E0L-1I0M0H0T1D0,http://qudt.org/vocab/dimensionvector/A0E0L-1I0M0H0T1D0
A0E0L-1I0M1H-1T-2D0,http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H-1T-2D0
A0E0L-1I0M1H0T-1D0,http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-1D0
A0E0L-1I0M1H0T-2D0,http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0
A0E0L-1I0M1H0T-3D0,http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-3D0
A0E0L-1I0M1H0T0D0,http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T0D0
A0E0L-2I0M-1H0T2D0,http://qudt.org/vocab/dimensionvector/A0E0L-2I0M-1H0T2D0
A0E0L-2I0M-1H1T3D0,http://qudt.org/vocab/dimensionvector/A0E0L-2I0M-1H1T3D0
A0E0L-2I0M0H0T-1D0,http://qudt.org/vocab/dimensionvector/A0E0L-2I0M0H0T-1D0
A0E0L-2I0M1H0T-1D0,http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T-1D0
A0E0L-2I0M1H0T-2D0,http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T-2D0
A0E0L-2I0M1H0T0D0,http://qudt.org/vocab/dimensionvector/A0E0L-2I0M1H0T0D0
A0E0L-2I1M0H0T0D0,http://qudt.org/vocab/dimensionvector/A0E0L-2I1M0H0T0D0
A0E0L-3I0M0H0T-1D0,http://qudt.org/vocab/dimensionvector/A0E0L-3I0M0H0T-1D0
A0E0L-3I0M0H0T0D0,http://qudt.org/vocab/dimensionvector/A0E0L-3I0M0H0T0D0
A0E0L-3I0M1H0T0D0,http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0
A0E0L-4I0M-2H0T4D0,http://qudt.org/vocab/dimensionvector/A0E0L-4I0M-2H0T4D0
A0E0L0I0M-1H1T3D0,http://qudt.org/vocab/dimensionvector/A0E0L0I0M-1H1T3D0
A0E0L0I0M-2H0T0D0,http://qudt.org/vocab/dimensionvector/A0E0L0I0M-2H0T0D0
A0E0L0I0M0H-1T-1D0,http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H-1T-1D0
A0E0L0I0M0H0T-1D0,http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0
A0E0L0I0M0H0T-1D1,http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D1
A0E0L0I0M0H0T-2D0,http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-2D0
A0E0L0I0M0H0T0D1,http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1
A0E0L0I0M0H0T1D0,http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0
A0E0L0I0M0H0T2D0,http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T2D0
A0E0L0I0M0H1T-1D0,http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H1T-1D0
A0E0L0I0M0H1T0D0,http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H1T0D0
