YA
ZA
EA
PA
TA
GA
MA
kA
hA
daA
dA
cA
mA
uA
nA
pA
fA
aA
zA
yA
Yar
Zar
Ear
Par
Tar
Gar
Mar
kar
har
daar
dar
car
mar
uar
nar
par
far
aar
zar
yar
YBq
ZBq
EBq
PBq
TBq
GBq
MBq
kBq
hBq
daBq
dBq
cBq
mBq
uBq
nBq
pBq
fBq
aBq
zBq
yBq
YB
ZB
EB
PB
TB
GB
MB
kB
hB
daB
dB
cB
mB
uB
nB
pB
fB
aB
zB
yB
Ycd
Zcd
Ecd
Pcd
Tcd
Gcd
Mcd
kcd
hcd
dacd
dcd
ccd
mcd
ucd
ncd
pcd
fcd
acd
zcd
ycd
YC
ZC
EC
PC
TC
GC
MC
kC
hC
daC
dC
cC
mC
uC
nC
pC
fC
aC
zC
yC
Yu
Zu
Eu
Pu
Tu
Gu
Mu
ku
hu
dau
du
cu
mu
uu
nu
pu
fu
au
zu
yu
YeV
ZeV
EeV
PeV
TeV
GeV
MeV
keV
heV
daeV
deV
ceV
meV
ueV
neV
peV
feV
aeV
zeV
yeV
YF
ZF
EF
PF
TF
GF
MF
kF
hF
daF
dF
cF
mF
uF
nF
pF
fF
aF
zF
yF
YGy
ZGy
EGy
PGy
TGy
GGy
MGy
kGy
hGy
daGy
dGy
cGy
mGy
uGy
nGy
pGy
fGy
aGy
zGy
yGy
Yg
Zg
Eg
Pg
Tg
Gg
Mg
kg
hg
dag
dg
cg
mg
ug
ng
pg
fg
ag
zg
yg
YHz
ZHz
EHz
PHz
THz
GHz
MHz
kHz
hHz
daHz
dHz
cHz
mHz
uHz
nHz
pHz
fHz
aHz
zHz
yHz
YH
ZH
EH
PH
TH
GH
MH
kH
hH
daH
dH
cH
mH
uH
nH
pH
fH
aH
zH
yH
YJ
ZJ
EJ
PJ
TJ
GJ
MJ
kJ
hJ
daJ
dJ
cJ
mJ
uJ
nJ
pJ
fJ
aJ
zJ
yJ
Ykat
Zkat
Ekat
Pkat
Tkat
Gkat
Mkat
kkat
hkat
dakat
dkat
ckat
mkat
ukat
nkat
pkat
fkat
akat
zkat
ykat
YK
ZK
EK
PK
TK
GK
MK
kK
hK
daK
dK
cK
mK
uK
nK
pK
fK
aK
zK
yK
Ylm
Zlm
Elm
Plm
Tlm
Glm
Mlm
klm
hlm
dalm
dlm
clm
mlm
ulm
nlm
plm
flm
alm
zlm
ylm
Ylx
Zlx
Elx
Plx
Tlx
Glx
Mlx
klx
hlx
dalx
dlx
clx
mlx
ulx
nlx
plx
flx
alx
zlx
ylx
YL
ZL
EL
PL
TL
GL
ML
kL
hL
daL
dL
cL
mL
uL
nL
pL
fL
aL
zL
yL
Ymol
Zmol
Emol
Pmol
Tmol
Gmol
Mmol
kmol
hmol
damol
dmol
cmol
mmol
umol
nmol
pmol
fmol
amol
zmol
ymol
Ym
Zm
Em
Pm
Tm
Gm
Mm
km
hm
dam
dm
cm
mm
um
nm
pm
fm
am
zm
ym
YNp
ZNp
ENp
PNp
TNp
GNp
MNp
kNp
hNp
daNp
dNp
cNp
mNp
uNp
nNp
pNp
fNp
aNp
zNp
yNp
YN
ZN
EN
PN
TN
GN
MN
kN
hN
daN
dN
cN
mN
uN
nN
pN
fN
aN
zN
yN
YOhm
ZOhm
EOhm
POhm
TOhm
GOhm
MOhm
kOhm
hOhm
daOhm
dOhm
cOhm
mOhm
uOhm
nOhm
pOhm
fOhm
aOhm
zOhm
yOhm
YPa
ZPa
EPa
PPa
TPa
GPa
MPa
kPa
hPa
daPa
dPa
cPa
mPa
uPa
nPa
pPa
fPa
aPa
zPa
yPa
Yrad
Zrad
Erad
Prad
Trad
Grad
Mrad
krad
hrad
darad
drad
crad
mrad
urad
nrad
prad
frad
arad
zrad
yrad
YSv
ZSv
ESv
PSv
TSv
GSv
MSv
kSv
hSv
daSv
dSv
cSv
mSv
uSv
nSv
pSv
fSv
aSv
zSv
ySv
Ysr
Zsr
Esr
Psr
Tsr
Gsr
Msr
ksr
hsr
dasr
dsr
csr
msr
usr
nsr
psr
fsr
asr
zsr
ysr
Ys
Zs
Es
Ps
Ts
Gs
Ms
ks
hs
das
ds
cs
ms
us
ns
ps
fs
as
zs
ys
YS
ZS
ES
PS
TS
GS
MS
kS
hS
daS
dS
cS
mS
uS
nS
pS
fS
aS
zS
yS
YT
ZT
ET
PT
TT
GT
MT
kT
hT
daT
dT
cT
mT
uT
nT
pT
fT
aT
zT
yT
Yt
Zt
Et
Pt
Tt
Gt
Mt
kt
ht
dat
dt
ct
mt
ut
nt
pt
ft
at
zt
yt
YV
ZV
EV
PV
TV
GV
MV
kV
hV
daV
dV
cV
mV
uV
nV
pV
fV
aV
zV
yV
YWb
ZWb
EWb
PWb
TWb
GWb
MWb
kWb
hWb
daWb
dWb
cWb
mWb
uWb
nWb
pWb
fWb
aWb
zWb
yWb
YW
ZW
EW
PW
TW
GW
MW
kW
hW
daW
dW
cW
mW
uW
nW
pW
fW
aW
zW
yW
Y''
Z''
E''
P''
T''
G''
M''
k''
h''
da''
d''
c''
m''
u''
n''
p''
f''
a''
z''
y''
