ontology ID,label,Type,has_obo_namespace,SubClass Of,has_prefix,is_unit_of,definition,definition cross reference,comment,exact synonym,narrow synonym,related synonym,created_by,creation date,in_subset,has_alternative_id
UO:0000106,hertz,class,unit.ontology,frequency unit,,,A frequency unit which is equal to 1 complete cycle of a recurring phenomenon in 1 second.,NIST:NIST,,Hz|s^1,,,george gkoutos,,unit_slim,
UO:0000107,force unit,class,unit.ontology,unit,,PATO:0001035,A unit which is a standard measure of the force is applied when a mass is accelerated.,NIST:NIST,,,,,george gkoutos,,unit_group_slim,
UO:0000108,newton,class,unit.ontology,force unit,,,A force unit which is equal to the force required to cause an acceleration of 1m/s2 of a mass of 1 Kg in the direction of the force.,NIST:NIST,,N,,,george gkoutos,,unit_slim,
UO:0000109,pressure unit,class,unit.ontology,unit,,PATO:0001025,A unit which is a standard measure of the force applied to a given area.,NIST:NIST,,,,,george gkoutos,,unit_group_slim,
UO:0000110,pascal,class,unit.ontology,pressure unit,,,A pressure unit which is equal to the pressure or stress on a surface caused by a force of 1 newton spread over a surface of 1 m^[2].,NIST:NIST,,Pa,,,george gkoutos,,unit_slim,
UO:0000111,energy unit,class,unit.ontology,unit,,PATO:0001021|PATO:0001026,"A unit which is a standard measure of the work done by a certain force (gravitational, electric, magnetic, force of inertia, etc).",NIST:NIST,,,,,george gkoutos,,unit_group_slim,
UO:0000112,joule,class,unit.ontology,energy unit,,,An energy unit which is equal to the energy required when a force of 1 newton moves an object 1 meter in the direction of the force.,NIST:NIST,,J,,,george gkoutos,,unit_slim,
UO:0000113,power unit,class,unit.ontology,unit,,PATO:0001024,A unit which is a standard measure power or the rate of doing work.,NIST:NIST,,,,,george gkoutos,,unit_group_slim,
UO:0000114,watt,class,unit.ontology,power unit,,,A power unit which is equal to the power used when work is done at the rate of 1 joule per second.,NIST:NIST,,W,,,george gkoutos,,unit_slim,
UO:0000115,illuminance unit,class,unit.ontology,light unit,,,A unit which is a standard measure of the luminous flux incident on a unit area.,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_group_slim,
UO:0000116,lux,class,unit.ontology,illuminance unit,,,An illuminance unit which is equal to the illuminance produced by 1 lumen evenly spread over an area 1 m^[2].,NIST:NIST,,lx,,,george gkoutos,,unit_slim,
UO:0000117,luminous flux unit,class,unit.ontology,light unit,,PATO:0001296,A unit which is a standard measure of the flow of radiant energy.,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_group_slim,
UO:0000118,lumen,class,unit.ontology,luminous flux unit,,,A luminous flux unit which is equal to the luminous flux emitted into 1 steradian by a point source of 1 candela.,NIST:NIST,,lm,,,george gkoutos,,unit_slim,
UO:0000119,catalytic activity unit,class,unit.ontology,unit,,PATO:0001414,A unit which is a standard measure of the amount of the action of a catalyst.,NIST:NIST,,,,,george gkoutos,,unit_group_slim,
UO:0000120,katal,class,unit.ontology,catalytic activity unit,,,"A catalytic unit activity which is equal to the activity of a catalyst in moles per second, such as the amount of an enzyme needed to transform one mole of substrate per second.",NIST:NIST,,kat,,,george gkoutos,,unit_slim,
UO:0000121,angle unit,class,unit.ontology,unit,,PATO:0000133,A unit which is a standard measure of the figure or space formed by the junction of two lines or planes.,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_group_slim,
UO:0000122,plane angle unit,class,unit.ontology,angle unit,,,A unit which is a standard measure of the angle formed by two straight lines in the same plane.,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_group_slim,
UO:0000123,radian,class,unit.ontology,plane angle unit,,,"A plane angle unit which is equal to the angle subtended at the center of a circle by an arc equal in length to the radius of the circle, approximately 57 degrees 17 minutes and 44.6 seconds.",NIST:NIST,,rad,,,george gkoutos,,unit_slim,
UO:0000124,solid angle unit,class,unit.ontology,angle unit,,,A unit which is a standard measure of the angle formed by three or more planes intersecting at a common point.,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_group_slim,
UO:0000125,steradian,class,unit.ontology,solid angle unit,,,A solid angle unit which is equal to the solid angle subtended at the center of a sphere by an area on the surface of the sphere that is equal to the radius squared.,NIST:NIST,,sr,,,george gkoutos,,unit_slim,
UO:0000126,,class,,,,,,,,,,,,,,
UO:0000127,radiation unit,class,unit.ontology,unit,,,A unit which is a standard measure of the amount of radiation emitted by a given radiation source as well as the amount of radiation absorbed or deposited in a specific material by a radiation source.,OCRBS:OCRBS,,,,,george gkoutos,,unit_group_slim,
UO:0000128,activity (of a radionuclide) unit,class,unit.ontology,radiation unit,,PATO:0001740,A unit which is a standard measure of the transformation (disintegration) rate of a radioactive substance.,DEFRA:DEFRA,,,,,george gkoutos,,unit_group_slim,
UO:0000129,absorbed dose unit,class,unit.ontology,radiation unit,,PATO:0001745,A unit which is a standard measure of the energy imparted by ionizing radiation to unit mass of matter such as tissue.,DEFRA:DEFRA,,,,,george gkoutos,,unit_group_slim,
UO:0000130,dose equivalent unit,class,unit.ontology,radiation unit,,PATO:0001746,A unit which is a standard measure of the expression of dose in terms of its biological effect.,ORCBS:ORCBS,,,,,george gkoutos,,unit_group_slim,
UO:0000131,exposure unit,class,unit.ontology,radiation unit,,PATO:0001744,A unit which is a standard measure of the quantity that expresses the ability of radiation to ionize air and thereby create electric charges which can be collected and measured.,ORCBS:ORCBS,,,,,george gkoutos,,unit_group_slim,
UO:0000132,becquerel,class,unit.ontology,UO:0000128,,,An activity (of a radionuclide) unit which is equal to the activity of a quantity of radioactive material in which one nucleus decays per second or there is one atom disintegration per second (dps).,NIST:NIST,,Bq,,,george gkoutos,,unit_slim,
UO:0000133,curie,class,unit.ontology,UO:0000128,,,An activity (of a radionuclide) unit which is equal to the activity of a quantity of radioactive material in which there are 3.7 x 10^[10] atom disintegration per second (dps).,ORCBS:ORCBS,,Ci,,,george gkoutos,,unit_slim,
UO:0000134,gray,class,unit.ontology,absorbed dose unit,,,An absorbed dose unit which is equal to the absorption of one joule of radiation energy by one kilogram of matter.,NIST:NIST,,Gy,,,george gkoutos,,unit_slim,
UO:0000135,rad,class,unit.ontology,absorbed dose unit,,,An absorbed dose unit which is equal to 0.01 gray (Gy).,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_slim,
UO:0000136,roentgen,class,unit.ontology,exposure unit,,,An exposure unit which is equal to the amount of radiation required to liberate positive and negative charges of one electrostatic unit of charge in 1 cm^[3] of air at standard temperature and pressure (STP). This corresponds to the generation of approximately 2.0810^[9] ion pairs.,Wikipedia:Wikipedia,,R,,,george gkoutos,,unit_slim,
UO:0000137,sievert,class,unit.ontology,dose equivalent unit,,,A dose equivalent unit which is equal to the absorption of one joule of radiation energy by one kilogram of matter.,NIST:NIST,,Sv,,,george gkoutos,,unit_slim,
UO:0000138,millisievert,class,unit.ontology,dose equivalent unit,,,A dose equivalent unit which is equal to one thousandth of a sievert or 10^[-3] Sv.,NIST:NIST,,mSv,,,george gkoutos,,unit_slim,
UO:0000139,microsievert,class,unit.ontology,dose equivalent unit,,,A dose equivalent unit which is equal to one millionth of a sievert or 10^[-6] Sv.,NIST:NIST,,uSv,,,george gkoutos,,unit_slim,
UO:0000140,Roentgen equivalent man,class,unit.ontology,dose equivalent unit,,,A dose equivalent unit which when multiplied by hundred is equal to one sievert or 1 Sv. 1 Sv is equal to 100 rem.,Wikipedia:Wikipedia,Rem = absorbed dose (rad) x quality factor (Q). Q is unique to the type of incident radiation.,rem,,,george gkoutos,,unit_slim,
UO:0000141,microgray,class,unit.ontology,absorbed dose unit,,,An absorbed dose unit which is equal to one millionth of a gray or 10^[-6] Gy.,NIST:NIST,,uGy,,,george gkoutos,,unit_slim,
UO:0000142,milligray,class,unit.ontology,absorbed dose unit,,,An absorbed dose unit which is equal to one thousandth of a gray or 10^[-3] Gy.,NIST:NIST,,mGy,,,george gkoutos,,unit_slim,
UO:0000143,nanogray,class,unit.ontology,absorbed dose unit,,,An absorbed dose unit which is equal to one thousandth of a millionth of a gray or 10^[-9] Gy.,NIST:NIST,,nGy,,,george gkoutos,,unit_slim,
UO:0000144,nanosievert,class,unit.ontology,dose equivalent unit,,,A dose equivalent unit which is equal to one thousandth of a millionth of a sievert or 10^[-9] Sv.,NIST:NIST,,nSv,,,george gkoutos,,unit_slim,
UO:0000145,millicurie,class,unit.ontology,UO:0000128,,,An activity (of a radionuclide) unit which is equal to one thousandth of a curie or 10^[-3] Ci.,ORCBS:ORCBS,,mCi,,,george gkoutos,,unit_slim,
UO:0000146,microcurie,class,unit.ontology,UO:0000128,,,An activity (of a radionuclide) unit which is equal to one millionth of a curie or 10^[-6] Ci.,ORCBS:ORCBS,,uCi,,,george gkoutos,,unit_slim,
UO:0000147,disintegrations per minute,class,unit.ontology,UO:0000128,,,An activity (of a radionuclide) unit which is equal to the activity of a quantity of radioactive material in which one nucleus decays per minute or there is one atom disintegration per minute.,ORCBS:ORCBS,,dpm,,,george gkoutos,,unit_slim,
UO:0000148,counts per minute,class,unit.ontology,UO:0000128,,,An activity (of a radionuclide) unit which is equal to the number of light emissions produced by ionizing radiation in one minute.,ORCBS:ORCBS,,cpm,,,george gkoutos,,unit_slim,
UO:0000149,,class,,,,,,,,,,,,,,
UO:0000150,nanosecond,class,unit.ontology,time unit,,,A time unit which is equal to one thousandth of one millionth of a second or 10^[-9] s.,NIST:NIST,,ns,,,george gkoutos,,unit_slim,
UO:0000151,century,class,unit.ontology,time unit,,,A time unit which is equal to 100 years.,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_slim,
UO:0000152,half life,class,unit.ontology,time unit,,,A time unit which represents the period over which the activity or concentration of a specified chemical or element falls to half its original activity or concentration.,MGED:MGED,Typically applied to the half life of radioactive atoms but also applicable to any other situation where the population is of molecules of diminishing concentration or activity.,,,,george gkoutos,,unit_slim,
UO:0000153,foot candle,class,unit.ontology,illuminance unit,,,An illuminance unit which is equal to the illuminance produced by 1 lumen evenly spread over an area 1 foot^[2]. One footcandle is equal to 10.76 lux.,Wikipedia:Wikipedia,,ft-c,,,george gkoutos,,unit_slim,
UO:0000154,irradiance unit,class,unit.ontology,light unit,,,"A unit which is a standard measure of the power of electromagnetic radiation at a surface, per unit area.",Wikipedia:Wikipedia,,,,,george gkoutos,,unit_group_slim,
UO:0000155,watt per square meter,class,unit.ontology,irradiance unit,,,An irradiance unit which is equal to 1 watt of radiant power incident per one square meter surface area.,NIST:NIST,,W/m^[2]|watt per square metre,,,george gkoutos,,unit_slim,
UO:0000156,einstein per square meter per second,class,unit.ontology,irradiance unit,,,"An irradiance unit which is equal to one einstein per square meter per second. One einstein is one mole of photons, regardless of their frequency. Therefore, the number of photons in an einstein is Avogadro's number.",Wikipedia:Wikipedia,,einstein per square metre per second|einstein/sm^[2]|mole per second and square meter mol/sm^2,,,george gkoutos,,unit_slim,
UO:0000157,light unit,class,unit.ontology,unit,,,A unit which is a standard measure of the intensity of light.,NIST:NIST,,,,,george gkoutos,,unit_group_slim,
UO:0000158,watt per steradian per square meter,class,unit.ontology,radiance unit,,,"A radiance unit which is equal to one watt of radiant power incident per steradian solid angle per one square meter projected area of the source, as viewed from the given direction.",NIST:NIST,,W/sr m^[2]|watt per steradian per square metre,,,george gkoutos,,unit_slim,
UO:0000159,radiant intensity unit,class,unit.ontology,light unit,,PATO:0001717,A unit which is a standard measure of the intensity of electromagnetic radiation.,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_group_slim,
UO:0000160,microeinstein per square meter per second,class,unit.ontology,irradiance unit,,,An irradiance unit which is equal to one microeinstein per square meter per second or 10^[-6] microeinstein/sm^[2].,Wikipedia:Wikipedia,,microeinstein per square metre per second|micromole per second and square meter mmol/sm^2|umicroeinstein/sm^[2],,,george gkoutos,,unit_slim,
UO:0000161,radiance unit,class,unit.ontology,light unit,,PATO:0001299,A unit which is a standard measure of the power of electromagnetic radiation through space or through a material medium in the form of electromagnetic waves.,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_group_slim,
UO:0000162,watt per steradian,class,unit.ontology,radiant intensity unit,,,A radiant intensity unit which is equal to one kilogram meter squared per second cubed per steradian.,NIST:NIST,,W/sr,,,george gkoutos,,unit_slim,
UO:0000163,mass percentage,class,unit.ontology,concentration unit|percent,,,A dimensionless concentration unit which denotes the mass of a substance in a mixture as a percentage of the mass of the entire mixture.,Wikipedia:Wikipedia,,w/w|weight-weight percentage,,,george gkoutos,,unit_slim,
UO:0000164,mass volume percentage,class,unit.ontology,concentration unit|percent,,,A dimensionless concentration unit which denotes the mass of the substance in a mixture as a percentage of the volume of the entire mixture.,UOC:GVG,,(w/v)|weight-volume percentage,,,george gkoutos,,unit_slim,
UO:0000165,volume percentage,class,unit.ontology,percent|volume per unit volume,,,A dimensionless concentration unit which denotes the volume of the solute in mL per 100 mL of the resulting solution.,UOC:GVG,,% (v/v),,,george gkoutos,,unit_slim,
UO:0000166,parts per notation unit,class,unit.ontology,dimensionless unit,,,A dimensionless concentration notation which describes the amount of one substance in another. It is the ratio of the amount of the substance of interest to the amount of that substance plus the amount of the substance.,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_group_slim,
UO:0000167,parts per hundred,class,unit.ontology,parts per notation unit,,,A dimensionless concentration notation which denotes the amount of a given substance in a total amount of 100 regardless of the units of measure as long as they are the same.,UOC:GVG,,10^[-2]|pph,,,george gkoutos,,unit_slim,
UO:0000168,parts per thousand,class,unit.ontology,parts per notation unit,,,A dimensionless concentration notation which denotes the amount of a given substance in a total amount of 1000 regardless of the units of measure as long as they are the same.,UOC:GVG,,10^[-3]|ppth,,,george gkoutos,,unit_slim,
UO:0000169,parts per million,class,unit.ontology,parts per notation unit,,,"A dimensionless concentration notation which denotes the amount of a given substance in a total amount of 1,000,000 regardless of the units of measure used as long as they are the same or 1 part in 10^[6].",UOC:GVG,,10^[-6]|ppm,,,george gkoutos,,unit_slim,
UO:0000170,parts per billion,class,unit.ontology,parts per notation unit,,,"A dimensionless concentration notation which denotes the amount of a given substance in a total amount of 1,000,000,000 regardless of the units of measure as long as they are the same or 1 part in 10^[9].",UOC:GVG,,10^[-9]|ppb,,,george gkoutos,,unit_slim,
UO:0000171,parts per trillion,class,unit.ontology,parts per notation unit,,,"A dimensionless concentration notation which denotes the amount of a given substance in a total amount of 1,000,000,000 regardless of the units of measure used as long as they are the same or 1 part in 10^[12].",UOC:GVG,,10^[-12]|ppt,,,george gkoutos,,unit_slim,
UO:0000172,parts per quadrillion,class,unit.ontology,parts per notation unit,,,"A dimensionless concentration notation which denotes the amount of a given substance in a total amount of 1,000,000,000,000 regardless of the units of measure used as long as they are the same or 1 part in 10^[15].",UOC:GVG,,10^[-15]|ppq,,,george gkoutos,,unit_slim,
UO:0000173,gram per milliliter,class,unit.ontology,mass density unit,,,A mass unit density which is equal to mass of an object in grams divided by the volume in milliliter.,UOC:GVG,,g/ml|gram per millilitre,,,george gkoutos,,unit_slim,
