ID,LABEL,Type,SubClass Of,Equivalent Class,comment,hasExactSynonym,hasRelatedSynonym
UO:0000013,mole,Class,base unit|mole based unit|substance unit,{mole},"""A substance unit which is equal to the amount of substance of a molecular system which contains as many elementary entities as there are atoms in 0.012 kilogram of carbon 12."" [BIPM:BIPM, NIST:NIST]",mol,
UO:0000014,candela,Named individual,,,"""A luminous intensity unit which equal to the luminous intensity, in a given direction, of a source that emits monochromatic radiation of frequency 540 x 1012 hertz and that has a radiant intensity in that direction of 1/683 watt per steradian."" [BIPM:BIPM, NIST:NIST]",cd,
UO:0000014,candela,Class,base unit|candela based unit|luminous intensity unit,{candela},"""A luminous intensity unit which equal to the luminous intensity, in a given direction, of a source that emits monochromatic radiation of frequency 540 x 1012 hertz and that has a radiant intensity in that direction of 1/683 watt per steradian."" [BIPM:BIPM, NIST:NIST]",cd,
UO:0000015,centimeter,Named individual,,,"""A length unit which is equal to one hundredth of a meter or 10^[-2] m."" [NIST:NIST]",centimetre|cm,
UO:0000015,centimeter,Class,length unit,'meter based unit' and (obo:has_prefix some centi)|{centimeter},"""A length unit which is equal to one hundredth of a meter or 10^[-2] m."" [NIST:NIST]",centimetre|cm,
UO:0000016,millimeter,Named individual,,,"""A length unit which is equal to one thousandth of a meter or 10^[-3] m."" [NIST:NIST]",micrometre|mm,
UO:0000016,millimeter,Class,length unit,'meter based unit' and (obo:has_prefix some milli)|{millimeter},"""A length unit which is equal to one thousandth of a meter or 10^[-3] m."" [NIST:NIST]",micrometre|mm,
UO:0000017,micrometer,Named individual,,,"""A length unit which is equal to one millionth of a meter or 10^[-6] m."" [NIST:NIST]",micrometre|micron|um,
UO:0000017,micrometer,Class,length unit,'meter based unit' and (obo:has_prefix some micro)|{micrometer},"""A length unit which is equal to one millionth of a meter or 10^[-6] m."" [NIST:NIST]",micrometre|micron|um,
UO:0000018,nanometer,Named individual,,,"""A length unit which is equal to one thousandth of one millionth of a meter or 10^[-9] m."" [NIST:NIST]",nanometre|nm,
UO:0000018,nanometer,Class,length unit,'meter based unit' and (obo:has_prefix some nano)|{nanometer},"""A length unit which is equal to one thousandth of one millionth of a meter or 10^[-9] m."" [NIST:NIST]",nanometre|nm,
UO:0000019,angstrom,Named individual,,,"""A length unit which is equal to 10 [-10] m."" [NIST:NIST]",Å,
UO:0000019,angstrom,Class,angstrom based unit|length unit,{angstrom},"""A length unit which is equal to 10 [-10] m."" [NIST:NIST]",Å,
