ID,LABEL,Type,SubClass Of,is_unit_of,Equivalent Class,comment,hasExactSynonym,hasRelatedSynonym,,,,,,,,,,,,,,,,,,
ID,A rdfs:label,TYPE,SC % SPLIT=|,SC (is_unit_of only %) SPLIT=|,EC % SPLIT=|,A rdfs:comment,A oboInOwl:hasExactSynonym SPLIT=|,A oboInOwl:hasRelatedSynonym SPLIT=|,,,,,,,,,,,,,,,,,,
UO:0000008,meter,class,base unit|length unit|meter based unit,,{meter},"""A length unit which is equal to the length of the path traveled by light in vacuum during a time interval of 1/299 792 458 of a second."" [BIPM:BIPM, NIST:NIST]",m|metre,,,,,,,,,,,,,,,,,,,
UO:0000009,kilogram,named individual,,,,"""A mass unit which is equal to the mass of the International Prototype Kilogram kept by the BIPM at Svres, France."" [BIPM:BIPM, NIST:NIST]",kg,,,,,,,,,,,,,,,,,,,
UO:0000009,kilogram,class,base unit|mass unit,,('gram based unit' and ('has prefix' some kilo))|{kilogram},"""A mass unit which is equal to the mass of the International Prototype Kilogram kept by the BIPM at Svres, France."" [BIPM:BIPM, NIST:NIST]",kg,,,,,,,,,,,,,,,,,,,
UO:0000010,second,named individual,,,,"""A time unit which is equal to the duration of 9 192 631 770 periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the caesium 133 atom."" [BIPM:BIPM, NIST:NIST]",s,,,,,,,,,,,,,,,,,,,
UO:0000010,second,class,base unit|second based unit|time unit,,{second},"""A time unit which is equal to the duration of 9 192 631 770 periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the caesium 133 atom."" [BIPM:BIPM, NIST:NIST]",s,,,,,,,,,,,,,,,,,,,
UO:0000011,ampere,named individual,,,,"""An electric current unit which is equal to the constant current which, if maintained in two straight parallel conductors of infinite length, of negligible circular cross-section, and placed 1 m apart in vacuum, would produce between these conductors a force equal to 2 x 10^[-7] newton per meter of length."" [BIPM:BIPM, NIST:NIST]",A,,,,,,,,,,,,,,,,,,,
UO:0000011,ampere,class,ampere based unit|base unit|electric current unit,,{ampere},"""An electric current unit which is equal to the constant current which, if maintained in two straight parallel conductors of infinite length, of negligible circular cross-section, and placed 1 m apart in vacuum, would produce between these conductors a force equal to 2 x 10^[-7] newton per meter of length."" [BIPM:BIPM, NIST:NIST]",A,,,,,,,,,,,,,,,,,,,
UO:0000012,kelvin,named individual,,,,"""A thermodynamic temperature unit which is equal to the fraction 1/273.16 of the thermodynamic temperature of the triple point of water."" [BIPM:BIPM, NIST:NIST]",K,,,,,,,,,,,,,,,,,,,
UO:0000012,kelvin,class,base unit|kelvin based unit|temperature unit,,{kelvin},"""A thermodynamic temperature unit which is equal to the fraction 1/273.16 of the thermodynamic temperature of the triple point of water."" [BIPM:BIPM, NIST:NIST]",K,,,,,,,,,,,,,,,,,,,
UO:0000013,mole,named individual,,,,"""A substance unit which is equal to the amount of substance of a molecular system which contains as many elementary entities as there are atoms in 0.012 kilogram of carbon 12."" [BIPM:BIPM, NIST:NIST]",mol,,,,,,,,,,,,,,,,,,,
UO:0000013,mole,class,base unit|mole based unit|substance unit,,{mole},"""A substance unit which is equal to the amount of substance of a molecular system which contains as many elementary entities as there are atoms in 0.012 kilogram of carbon 12."" [BIPM:BIPM, NIST:NIST]",mol,,,,,,,,,,,,,,,,,,,
UO:0000014,candela,named individual,,,,"""A luminous intensity unit which equal to the luminous intensity, in a given direction, of a source that emits monochromatic radiation of frequency 540 x 1012 hertz and that has a radiant intensity in that direction of 1/683 watt per steradian."" [BIPM:BIPM, NIST:NIST]",cd,,,,,,,,,,,,,,,,,,,
UO:0000014,candela,class,base unit|candela based unit|luminous intensity unit,,{candela},"""A luminous intensity unit which equal to the luminous intensity, in a given direction, of a source that emits monochromatic radiation of frequency 540 x 1012 hertz and that has a radiant intensity in that direction of 1/683 watt per steradian."" [BIPM:BIPM, NIST:NIST]",cd,,,,,,,,,,,,,,,,,,,
UO:0000015,centimeter,named individual,,,,"""A length unit which is equal to one hundredth of a meter or 10^[-2] m."" [NIST:NIST]",centimetre|cm,,,,,,,,,,,,,,,,,,,
UO:0000015,centimeter,class,length unit,,('meter based unit' and ('has prefix' some centi))|{centimeter},"""A length unit which is equal to one hundredth of a meter or 10^[-2] m."" [NIST:NIST]",centimetre|cm,,,,,,,,,,,,,,,,,,,
UO:0000016,millimeter,named individual,,,,"""A length unit which is equal to one thousandth of a meter or 10^[-3] m."" [NIST:NIST]",micrometre|mm,,,,,,,,,,,,,,,,,,,
UO:0000016,millimeter,class,length unit,,('meter based unit' and ('has prefix' some milli))|{millimeter},"""A length unit which is equal to one thousandth of a meter or 10^[-3] m."" [NIST:NIST]",micrometre|mm,,,,,,,,,,,,,,,,,,,
UO:0000017,micrometer,named individual,,,,"""A length unit which is equal to one millionth of a meter or 10^[-6] m."" [NIST:NIST]",micrometre|micron|um,,,,,,,,,,,,,,,,,,,
