ID,LABEL,SubClass Of,Equivalent Class,database_cross_reference
ENVO:01001199,terrestrial environmental zone,'part of' some 'terrestrial biome'|environmental zone,'environmental zone' and ('part of' some 'planetary landmass'),
ENVO:01001200,anthropised terrestrial environmental zone,terrestrial environmental zone,'terrestrial environmental zone' and ('part of' some 'anthropogenic terrestrial biome'),
ENVO:01001201,marine environmental zone,environmental zone,'environmental zone' and ('part of' some 'marine environment'),
ENVO:01001202,alluvium,'composed primarily of' some ('alluvial soil' or 'alluvial sediment')|'has quality' some granular|'has quality' some porous|environmental material,,
ENVO:01001203,alluvial sediment,sediment,,
ENVO:01001204,alluvial deposit,'composed primarily of' some ('alluvial soil' or 'alluvial sediment')|'formed as result of' some lithification|rock,,
ENVO:01001205,lithification,material transformation process,'material transformation process' and ('has input' some sediment) and ('results in formation of' some 'sedimentary rock'),
ENVO:01001206,grassland ecosystem,terrestrial ecosystem,,EcoLexicon:grassland|FTT:259|FTT:760|FTT:766|Geonames:V.GRSLD|LTER:232|TGN:21604|TGN:54052
ENVO:01001207,ranch,'part of' some 'rangeland biome'|farm,,FTT:45|FTT:58|FTT:59|FTT:69|Geonames:S.RNCH
ENVO:01001208,swamp area,overlaps some 'swamp ecosystem'|wetland area,,
ENVO:01001209,wetland ecosystem,'has part' some ('planetary landmass' and ('composed primarily of' some (soil and ('has quality' some wet))))|ecosystem,,EcoLexicon:wetland|FTT:1001|FTT:1060|FTT:1061|FTT:1118|FTT:1180|FTT:1190|FTT:1206|FTT:1207|FTT:1226|FTT:184|FTT:185|FTT:228|FTT:281|FTT:480|FTT:716|FTT:883|FTT:934|FTT:945|FTT:983|Geonames:H.WTLD|LTER:630|SPIRE:Bog|SWEETRealm:Wetland|TGN:21301|TGN:21304|TGN:21305|https://en.wikipedia.org/wiki/Wetland
ENVO:01001210,defence against flooding,anthropogenic modulatory intervention process,'anthropogenic modulatory intervention process' and ('negatively regulates' some flooding),
ENVO:01001211,stellar radiation,electromagnetic radiation,'electromagnetic radiation' and ('process has causal agent' some star),NCIT:C44445
ENVO:01001212,microwave stellar radiation,,'microwave radiation' and ('process has causal agent' some star),
ENVO:01001213,radio wave stellar radiation,,'radio wave radiation' and ('process has causal agent' some star),
ENVO:01001214,infrared stellar radiation,,'infrared radiation' and ('process has causal agent' some star),
ENVO:01001215,visible spectrum stellar radiation,,'visible spectrum radiation' and ('process has causal agent' some star),
ENVO:01001216,ultraviolet stellar radiation,,'ultraviolet radiation' and ('process has causal agent' some star),NCIT:C17231
ENVO:01001217,X-ray stellar radiation,,'X-ray radiation' and ('process has causal agent' some star),
ENVO:01001218,gamma-ray stellar radiation,,'gamma-ray radiation' and ('process has causal agent' some star),
ENVO:01001219,ionizing stellar radiation,,'ionizing radiation' and ('process has causal agent' some star),
ENVO:01001220,water accumulation process,'has output' some 'water body'|'has participant' some 'liquid water'|liquid accumulation process,,
ENVO:01001221,office building,'has part' some 'toilet fixture'|'has part' some office|commercial building,,
ENVO:01001222,commercial building,building,building and ('participates in' some 'usage of an environment for business'),
ENVO:01001223,lumber production process,planetary manufacturing process,,
ENVO:01001224,office,building part,,
ENVO:01001225,IUCN protected area with sustainable use of natural resources,area protected according to IUCN guidelines|overlaps some ('planetary surface' and ('composed primarily of' some 'natural environment')),,
ENVO:01001226,terrestrial natural environment,natural environment,'natural environment' and ('part of' some 'planetary landmass'),
ENVO:01001227,aquatic natural environment,natural environment,'natural environment' and ('part of' some 'water body'),
ENVO:01001228,Hill sphere,'contains process' some 'gravitational motion'|('contains process' some 'gravitational motion') and ('process has causal agent' max 1 'astronomical body')|contains some 'astronomical body'|environmental zone,,
ENVO:01001229,Lagrangian point,environmental zone|overlaps min 2 'Hill sphere',,
ENVO:01001230,tropical marginal sea biome,'has quality' some tropical|marginal sea biome,,
ENVO:01001231,kerogen,'has quality' some 'quality of a solid'|organic material|partially_surrounded_by some 'sedimentary rock',,
ENVO:01001232,sapropelic kerogen,'derives into' some (hydrocarbon and ('has quality' some 'quality of a liquid'))|kerogen,,
ENVO:01001233,labile kerogen,'derives into' some petroleum|kerogen,,
ENVO:01001234,recalcitrant kerogen,'derives into' some 'hydrocarbon gas'|kerogen,,
ENVO:01001235,planktonic kerogen,'derives from' some 'planktonic material'|'derives into' some (petroleum and 'hydrocarbon gas')|kerogen|obo:envo#has_increased_levels_of some 'sulfur molecular entity',,
ENVO:01001236,sulfrous kerogen,planktonic kerogen,,
ENVO:01001237,humic kerogen,'derives from' some Viridiplantae|'derives into' some ('hydrocarbon gas' or coal)|kerogen,,
ENVO:01001238,residual kerogen,'composed primarily of' some 'polycyclic hydrocarbon'|kerogen,,
ENVO:01001239,forest canopy,'part of' some 'forest ecosystem'|canopy,,EcoLexicon:canopy|LTER:82|SWEETRealm:Canopy|https://en.wikipedia.org/wiki/Canopy
ENVO:01001240,woodland canopy,'part of' some 'woodland ecosystem'|canopy,,EcoLexicon:canopy|LTER:82|SWEETRealm:Canopy|https://en.wikipedia.org/wiki/Canopy
ENVO:01001241,crop canopy,'part of' some 'cropland ecosystem'|canopy,,EcoLexicon:canopy|LTER:82|SWEETRealm:Canopy|https://en.wikipedia.org/wiki/Canopy
ENVO:01001242,canopy,vegetation layer,,EcoLexicon:canopy|LTER:82|SWEETRealm:Canopy
ENVO:01001243,forest ecosystem,'has part' some 'forest canopy'|terrestrial ecosystem,,
ENVO:01001244,cropland ecosystem,terrestrial ecosystem,,
ENVO:01001245,woodland ecosystem,'has part' some 'woodland canopy'|terrestrial ecosystem,,
ENVO:01001246,agricultural process,'occurs in' some 'planetary landmass'|'process has causal agent' some 'Homo sapiens'|environmental system process,'environmental system process' and ('occurs in' some ('cropland biome' or 'village biome' or 'rangeland biome')),
ENVO:01001247,agronomic process,'has participant' some Viridiplantae|'occurs in' some 'planetary landmass'|'process has causal agent' some 'Homo sapiens'|agricultural process,,
ENVO:01001248,animal husbandry,'has participant' some Metazoa|'occurs in' some 'planetary landmass'|'process has causal agent' some 'Homo sapiens'|agricultural process,,
ENVO:01001249,crustacean farming process,'occurs in' some 'water body'|'process has causal agent' some 'Homo sapiens'|animal aquaculture process,,
ENVO:01001250,finfish farming process,'occurs in' some 'water body'|'process has causal agent' some 'Homo sapiens'|animal aquaculture process,,
ENVO:01001251,mollusc farming process,'occurs in' some 'water body'|'process has causal agent' some 'Homo sapiens'|animal aquaculture process,,
ENVO:01001252,seaweed farming process,'occurs in' some 'water body'|'process has causal agent' some 'Homo sapiens'|plant aquaculture process,,
ENVO:01001253,freshwater macrophyte farming process,'occurs in' some 'water body'|'process has causal agent' some 'Homo sapiens'|plant aquaculture process,,
ENVO:01001254,animal aquaculture process,'has participant' some Metazoa|'occurs in' some 'water body'|'process has causal agent' some 'Homo sapiens'|aquaculture process,,
ENVO:01001255,plant aquaculture process,'has participant' some Viridiplantae|'occurs in' some 'water body'|'process has causal agent' some 'Homo sapiens'|aquaculture process,,
ENVO:01001256,coastal shrimp pond,'contains process' some 'crustacean farming process'|'part of' some 'coastal water body'|shrimp pond,,
ENVO:01001257,saline shrimp pond water,'derives from' some 'sea water'|'participates in' some 'crustacean farming process'|saline water,'saline water' and ('part of' some 'shrimp pond'),
ENVO:01001258,vog,'formed as result of' some ('gas emission process' and ('part of' some 'volcanic eruption'))|'has part' some ('sulfur molecular entity' and ('derives from' some ('sulfur oxide' and ('output of' some 'volcanic eruption'))))|fog,,
ENVO:01001259,transport of waste to a designated storage site,'has participant' some 'area designated for waste storage'|waste disposal process,,
ENVO:01001260,waste disposal process,'has part' some 'material transport process'|'has participant' some 'waste material'|'process has causal agent' some 'Homo sapiens'|pollution control,,
ENVO:01001261,transport of child feces to a designated site,'has participant' some (feces and ('output of' some (excretion and ('has participant' some 'Homo sapiens'))))|transport of waste to a designated storage site,,
ENVO:01001262,transport of household waste to a designated storage site,'has participant' some 'household waste material'|'has participant' some 'human house'|transport of waste to a designated storage site,,
ENVO:01001263,area designated for human defecation,environmental zone,,
ENVO:01001264,area designated for waste storage,environmental zone,,
ENVO:01001265,thermal pollution,'has input' some ('environmental material' or 'environmental system' or 'astronomical body part')|'has output' some (('environmental material' or 'environmental system' or 'astronomical body part') and ('has quality' some 'increased temperature'))|environmental pollution,,
ENVO:01001266,thermal pollution of an aquatic system,'has output' some ('liquid water' and ('has quality' some 'increased temperature'))|'occurs in' some 'aquatic environment'|'occurs in' some 'water body'|thermal pollution,,
ENVO:01001267,stormwater,liquid water,,
ENVO:01001268,urban stormwater,'located in' some 'area of developed space'|'located in' some 'urban biome'|stormwater,,
ENVO:01001269,area of developed space,'adjacent to' some 'atmospheric boundary layer'|'part of' some 'planetary surface'|'part of' some 'urban biome'|anthropised terrestrial environmental zone,,
ENVO:01001270,rural stormwater,'located in' some 'rural area'|'located in' some ('cropland biome' or 'village biome' or 'rangeland biome')|stormwater,,
ENVO:01001271,impermeable surface layer,solid surface layer,'solid surface layer' and ('has quality' some impermeable),
ENVO:01001272,constructed pavement,'has quality' some laminar|transport feature,,
ENVO:01001273,liquid layer,fluid layer,'fluid layer' and ('composed primarily of' some 'liquid environmental material'),
ENVO:01001274,material isosurface,layer,,
ENVO:01001275,solid layer,layer,layer and ('composed primarily of' some 'solid environmental material'),
ENVO:01001276,water ice layer,,'solid layer' and ('composed primarily of' some 'water ice'),
ENVO:01001277,asphalt road,road,road and ('composed primarily of' some asphalt),
ENVO:01001278,concrete road,road,road and ('composed primarily of' some concrete),
ENVO:01001279,sidewalk,constructed pavement,,
ENVO:01001280,driveway,road,,
ENVO:01001281,paved parking lot,constructed pavement,,
ENVO:01001282,silica dust,'composed primarily of' some 'silicon dioxide'|dust,,
ENVO:01001283,aluminium dust,dust,dust and ('composed primarily of' some 'elemental aluminium'),
ENVO:01001284,barium dust,dust,dust and ('elemental barium' or ('composed primarily of' some 'barium molecular entity')),
ENVO:01001285,talc dust,dust,dust and ('composed primarily of' some Talc),
ENVO:01001286,slate dust,dust,dust and ('derives from' some slate),
ENVO:01001287,industrial fire,fire,fire and ('occurs in' some 'industrial building'),
ENVO:01001288,kaolin dust,'composed primarily of' some kaolin|dust,dust and ('derives from' some ('environmental material' and ('composed primarily of' some kaolin))),
ENVO:01001289,brush fire,'occurs in' some ('scrubland area' or 'area of dwarf scrub' or 'area of scrub' or 'area of sedge- and forb-dominated herbaceous vegetation' or 'area of gramanoid or herbaceous vegetation')|land fire,,
ENVO:01001290,bush fire,land fire,'land fire' and ('occurs in' some 'bush area'),
